name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Claranet.gml;(((((((((((WP(34-88) | WP(75-88)) | WP(45-88)) | WP(13-88)) | WP(15-88)) | WP(46-88)) | WP(88-88)) | WP(27-88)) | WP(60-88)) | WP(30-88)) | WP(63-88)) & (Reach 88));6;12;18;6;kaki;base;0.3036666666666667;95.64933333333333;True
5Cogentco.gml;(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((WP(257-1167) | WP(1153-1167)) | WP(1025-1167)) | WP(3-1167)) | WP(773-1167)) | WP(518-1167)) | WP(517-1167)) | WP(522-1167)) | WP(910-1167)) | WP(14-1167)) | WP(142-1167)) | WP(398-1167)) | WP(146-1167)) | WP(912-1167)) | WP(915-1167)) | WP(150-1167)) | WP(279-1167)) | WP(1046-1167)) | WP(409-1167)) | WP(537-1167)) | WP(794-1167)) | WP(668-1167)) | WP(1174-1167)) | WP(801-1167)) | WP(37-1167)) | WP(168-1167)) | WP(40-1167)) | WP(937-1167)) | WP(554-1167)) | WP(941-1167)) | WP(942-1167)) | WP(955-1167)) | WP(61-1167)) | WP(830-1167)) | WP(189-1167)) | WP(320-1167)) | WP(318-1167)) | WP(576-1167)) | WP(579-1167)) | WP(583-1167)) | WP(712-1167)) | WP(327-1167)) | WP(202-1167)) | WP(713-1167)) | WP(463-1167)) | WP(720-1167)) | WP(209-1167)) | WP(722-1167)) | WP(1110-1167)) | WP(471-1167)) | WP(988-1167)) | WP(477-1167)) | WP(349-1167)) | WP(735-1167)) | WP(734-1167)) | WP(739-1167)) | WP(999-1167)) | WP(1127-1167)) | WP(1131-1167)) | WP(366-1167)) | WP(238-1167)) | WP(1135-1167)) | WP(753-1167)) | WP(240-1167)) | WP(623-1167)) | WP(632-1167)) | WP(1022-1167)) & (Reach 1167));96;114;60;18;kaki;base;0.9713333333333333;198.984;True
5Compuserve.gml;(((((((((((WP(64-81) | WP(34-81)) | WP(38-81)) | WP(11-81)) | WP(76-81)) | WP(77-81)) | WP(48-81)) | WP(18-81)) | WP(51-81)) | WP(24-81)) | WP(62-81)) & (Reach 81));16;21;8;6;kaki;base;0.3713333333333333;102.056;True
5Cwix.gml;((((((((((((((((((((WP(128-209) | WP(1-209)) | WP(132-209)) | WP(5-209)) | WP(137-209)) | WP(150-209)) | WP(153-209)) | WP(165-209)) | WP(38-209)) | WP(42-209)) | WP(182-209)) | WP(185-209)) | WP(60-209)) | WP(61-209)) | WP(200-209)) | WP(72-209)) | WP(210-209)) | WP(90-209)) | WP(102-209)) | WP(109-209)) & (Reach 209));34;37;13;7;kaki;base;13.704;502.788;True
5Darkstrand.gml;((((((((((((((((((((((((((((WP(1-162) | WP(4-162)) | WP(136-162)) | WP(141-162)) | WP(144-162)) | WP(21-162)) | WP(27-162)) | WP(157-162)) | WP(161-162)) | WP(34-162)) | WP(37-162)) | WP(167-162)) | WP(40-162)) | WP(50-162)) | WP(51-162)) | WP(61-162)) | WP(66-162)) | WP(75-162)) | WP(78-162)) | WP(81-162)) | WP(91-162)) | WP(97-162)) | WP(100-162)) | WP(102-162)) | WP(104-162)) | WP(114-162)) | WP(120-162)) | WP(123-162)) & (Reach 162));60;66;6;6;kaki;base;27.97066666666667;805.596;True
5Dataxchange.gml;((((WP(9-35) | WP(29-35)) | WP(22-35)) | WP(33-35)) & (Reach 35));0;2;16;2;kaki;base;0.21533333333333335;79.84266666666667;True
5Deltacom.gml;((((((((((((((((((((((((((((((((((((((((((((((((((((((((WP(512-673) | WP(513-673)) | WP(258-673)) | WP(131-673)) | WP(259-673)) | WP(386-673)) | WP(637-673)) | WP(647-673)) | WP(139-673)) | WP(397-673)) | WP(525-673)) | WP(147-673)) | WP(276-673)) | WP(659-673)) | WP(151-673)) | WP(25-673)) | WP(670-673)) | WP(544-673)) | WP(673-673)) | WP(35-673)) | WP(164-673)) | WP(547-673)) | WP(168-673)) | WP(430-673)) | WP(47-673)) | WP(443-673)) | WP(188-673)) | WP(447-673)) | WP(196-673)) | WP(72-673)) | WP(330-673)) | WP(333-673)) | WP(590-673)) | WP(336-673)) | WP(337-673)) | WP(82-673)) | WP(470-673)) | WP(600-673)) | WP(219-673)) | WP(475-673)) | WP(604-673)) | WP(94-673)) | WP(222-673)) | WP(612-673)) | WP(486-673)) | WP(359-673)) | WP(358-673)) | WP(105-673)) | WP(490-673)) | WP(363-673)) | WP(108-673)) | WP(371-673)) | WP(372-673)) | WP(245-673)) | WP(247-673)) | WP(253-673)) & (Reach 673));78;90;54;12;kaki;base;0.763;178.43466666666666;True
5Digex.gml;((((((((((((((((((((((((((WP(3-182) | WP(131-182)) | WP(136-182)) | WP(139-182)) | WP(14-182)) | WP(144-182)) | WP(26-182)) | WP(27-182)) | WP(158-182)) | WP(37-182)) | WP(169-182)) | WP(172-182)) | WP(44-182)) | WP(50-182)) | WP(181-182)) | WP(182-182)) | WP(59-182)) | WP(62-182)) | WP(72-182)) | WP(80-182)) | WP(89-182)) | WP(91-182)) | WP(95-182)) | WP(97-182)) | WP(104-182)) | WP(118-182)) & (Reach 182));54;60;6;6;kaki;base;20.698;754.2306666666667;True
5Easynet.gml;((((((((((((((((((WP(32-107) | WP(97-107)) | WP(67-107)) | WP(102-107)) | WP(72-107)) | WP(41-107)) | WP(106-107)) | WP(11-107)) | WP(10-107)) | WP(107-107)) | WP(79-107)) | WP(50-107)) | WP(83-107)) | WP(19-107)) | WP(55-107)) | WP(89-107)) | WP(59-107)) | WP(28-107)) & (Reach 107));9;18;21;12;kaki;base;0.4676666666666667;109.348;True
5EliBackbone.gml;((((((((((((((((WP(36-112) | WP(69-112)) | WP(70-112)) | WP(39-112)) | WP(9-112)) | WP(74-112)) | WP(43-112)) | WP(109-112)) | WP(110-112)) | WP(14-112)) | WP(82-112)) | WP(51-112)) | WP(52-112)) | WP(115-112)) | WP(92-112)) | WP(29-112)) & (Reach 112));15;22;10;17;kaki;base;0.4763333333333333;110.68666666666667;True
